My Type,Saint Motel
War (feat. Lil Tjay),Pop Smoke
Poison,Bell Biv DeVoe
My Prerogative,Bobby Brown
Bandit,Juice WRLD & YoungBoy Never Broke Again
Post To Be (feat. Rileyy Lanez),Lil Tjay
Leaked (feat. Lil Wayne) [Remix],Lil Tjay
Say My Name,Destiny's Child
"Bad, Bad Leroy Brown",Jim Croce
rockstar (feat. 21 Savage),Post Malone
No Complaints (feat. Offset & Drake) [Bonus],Metro Boomin
"Stayin' Alive (From ""Saturday Night Fever"" Soundtrack)",Bee Gees
No Question (feat. Future),Rich The Kid
Old Town Road (feat. Billy Ray Cyrus) [Remix],Lil Nas X
"Happy (From ""Despicable Me 2"")",Pharrell Williams
Blurred Lines (feat. T.I. & Pharrell),Robin Thicke
Every Hour (feat. Sunday Service Choir),Kanye West
Keep Your Head Up,Andy Grammer
Remember the Name (feat. Styles of Beyond),Fort Minor
Closed on Sunday,Kanye West
Selah,Kanye West
They Don't Care About Us,Michael Jackson
Don’t Matter To Me,Drake & Michael Jackson
Billie Jean,Michael Jackson
Don't Stop 'Til You Get Enough,Michael Jackson
It's On Again (feat. Kendrick Lamar) [From The Amazing Spider-Man 2 Soundtrack],Alicia Keys
War With Us,YoungBoy Never Broke Again
Jesus Walks,Kanye West
All Falls Down (feat. Syleena Johnson),Kanye West
Topanga,Trippie Redd
UP (A COLORS SHOW),EARTHGANG
Otherside (feat. Lil Durk),Quando Rondo
Drip Like Dis,"Bankroll Freddie, Young Dolph & Lil Baby"
Sauce All on Me,Coca Vango
Let's Go,Cypria
I Am,Lil Baby & Gunna
Top Off,Gunna
Big Shot,Gunna
Pound Cake / Paris Morton Music 2 (feat. JAY Z),Drake
All Me (feat. 2 Chainz & Big Sean),Drake
Find Your Love,Drake
Soy Yo,Bomba Estéreo
Hit It,American Authors
We Sink,CHVRCHES
Runnin',David Dallas
Funky Futurista,Illya Kuryaki & The Valderramas
Purple Yellow Red and Blue,Portugal. The Man
I Am (feat. Wyclef Jean),Rock Mafia
Never Gonna Give You Up,Rick Astley
Somebody to Love,Justin Bieber
All I Want For Christmas Is You (SuperFestive!) Duet with Mariah Carey,Justin Bieber & Mariah Carey
Mistletoe,Justin Bieber
Beauty and a Beat (feat. Nicki Minaj),Justin Bieber
Cold Water (feat. Justin Bieber & MØ),Major Lazer
SexyBack (feat. Timbaland),Justin Timberlake
Rock Your Body,Justin Timberlake
"Baby, It's Cold Outside (with Dorothy Kirsten)",Frank Sinatra
Centuries,Fall Out Boy
Purple Hat,Sofi Tukker
You Don't Know Me,Jax Jones & RAYE
Crazy Rap (Colt 45 & 2 Zig Zags),Afroman
Tokyo Drift,Teriyaki Boyz
The Look,Metronomy
The Matrimony (feat. Usher),Wale
Shea Butter Baby,Ari Lennox & J. Cole
Birthday,J-Soul
Heart on Ice,Rod Wave
Know Yourself,Drake
Forgot About Dre (feat. Eminem),Dr. Dre
The Next Episode (feat. Snoop Dogg),Dr. Dre
Pony,Ginuwine
All My Friends (feat. Tinashe & Chance The Rapper),Snakehips
Bobby Bitch,Bobby Shmurda
I Want It That Way,Backstreet Boys
That Far,6LACK
Promises,"Calvin Harris, Sam Smith"
Wipe the Case Away (feat. Ty Real),Bobby Shmurda
Hot N*gga,Bobby Shmurda
"Down Like That (feat. Rick Ross, Lil Baby & S-X)",KSI
Ransom,Lil Tecca
Jolene,Dolly Parton
Vibin in This Bih (feat. Gucci Mane),Kodak Black
Skrt,Kodak Black
Ballin’,Mustard & Roddy Ricch
Super Bass,Nicki Minaj
W (feat. Gunna),Koffee
I Am Who They Say I Am (feat. Kevin Gates and Quando Rondo),YoungBoy Never Broke Again
Bugatti (feat. Future & Rick Ross),Ace Hood
Who's,Jacquees
Culture (feat. DJ Khaled),Migos
Crazy in Love (feat. Jay-Z),Beyoncé
Empire State of Mind (feat. Alicia Keys),JAY-Z & Alicia Keys
Umbrella (feat. JAY Z),Rihanna
Black Skinhead,Kanye West
Follow God,Kanye West
Sucker,Jonas Brothers
Burnin' Up,Jonas Brothers
I'm Gonna Getcha Good! (Red Single Edit),Shania Twain
Heartless,The Weeknd
Lucid Dreams,Juice WRLD
Scary,Stormzy
Own It (feat. Ed Sheeran & Burna Boy),Stormzy
Vossi Bop,Stormzy
WIN,Jay Rock
Double C's,Quando Rondo
Die Young,Roddy Ricch
Writing's On the Wall,Sam Smith
Slide (feat. Frank Ocean & Migos),Calvin Harris
Freedom! '90,George Michael
Freedom (feat. Kendrick Lamar),Beyoncé
Whatcha Say,Jason Derulo
Regulate (feat. Nate Dogg),Warren G
Love Song,Sara Bareilles
90210 Main Title (2009 Remix) [Remix],Remix
How We Do (feat. 50 Cent),The Game
Heart of the City (Ain't No Love),JAY-Z
"Girls, Girls, Girls, Pt. II",JAY-Z
Renegade (feat. Eminem),JAY-Z
U Don't Know,JAY-Z
Izzo (H.O.V.A.),JAY-Z
Hate Me Now (feat. Diddy),Nas
Nas Is Like,Nas
Song Cry,JAY-Z
N.Y. State of Mind,Nas
Ether,Nas
Smells Like Teen Spirit,Nirvana
The Box,Roddy Ricch
Without Me,Eminem
Animal,Neon Trees
Fireflies,Owl City
Come and Get Your Love,Redbone
Love Shack,The B-52's
Peta (feat. Meek Mill),Roddy Ricch
Pumped Up Kicks,Foster the People
16 Shots,Stefflon Don
"Lose Yourself (From ""8 Mile"")",Eminem
Really Got It,Jerreau
Praktice,Young M.A
Calm Down (feat. Kayam),BrownKam
Tubthumping,Chumbawamba
Hot (feat. Gunna),Young Thug
Earned It,The Weeknd
Earned It,Chief Keef
Can You Be My Friend,Chief Keef
No Frauds,"Nicki Minaj, Drake & Lil Wayne"
Blinding Lights,The Weeknd
Had Enough (feat. Quavo & Offset),Don Toliver
Djadja,Aya Nakamura
She Will (feat. Drake),Lil Wayne
Faded (feat. Lil Wayne),Tyga
HIGHEST IN THE ROOM,Travis Scott
Hop Off a Jet (feat. Travis Scott),Young Thug
Die Today,Young Thug
Diamonds (feat. Gunna),Young Thug
Opp Thot,POUNDZ
Somebody That I Used to Know (feat. Kimbra),Gotye
...To Be Loved,Papa Roach
Lean On (feat. MØ & DJ Snake),Major Lazer
Death (feat. DaBaby),Trippie Redd
Dark Knight Dummo (feat. Travis Scott),Trippie Redd
Miss Independent,Ne-Yo
Call Me Maybe,Carly Rae Jepsen
Really Really,Kevin Gates
Got It Twisted,Mobb Deep
Transportin',Kodak Black
Successful (feat. Trey Songz & Lil Wayne),Drake
T.O.N.Y (Top of New York) [feat. Tragedy Khadafi],Capone-N-Noreaga
Nothin',N.O.R.E.
Off the Rip (feat. Chinx & N.O.R.E.),French Montana
Party Is Goin' On Over Here,Busta Rhymes
X Gon' Give It To Ya,DMX
Party Up,DMX
Run,Katori Walker
Too Many Foes,Katori Walker
Sometimes (feat. Elijah James),Katori Walker
Dolla Save Me,Katori Walker
Purple Lamborghini,Skrillex & Rick Ross
Ain't No Time,Future
Friction,Imagine Dragons
Kill V. Maim,Grimes
On Purpose (feat. Pitbull & 40 Cobras),Dougie F
21st Century Life,Sam Sparro
Gold,Kiiara
Dilemma (feat. Kelly Rowland),Nelly
Makaveli,Bousmara Division N°1
"Sweet in the Middle (feat. WurlD, Naira Marley & Zlatan)",Davido
On Chill (feat. Jeremih),Wale
Ride Wit Me (feat. City Spud),Nelly
The Next Movement,"DJ Jazzy Jeff, Jazzyfatnastees & The Roots"
This Is America,Childish Gambino
"Gangsta (feat. Davido, Tion Wayne & SL) [Remix]",Darkoo
We Dem Boyz,Wiz Khalifa
Greenback Boogie,Ima Robot
Sum 2 Prove,Lil Baby
OUT WEST (feat. Young Thug),JACKBOYS & Travis Scott
How I Move (feat. Lil Baby),Flipp Dinero
Steal My Girl,One Direction
Burn the House Down,AJR
BROWN SKIN GIRL,"Beyoncé, SAINt JHN, Wizkid & Blue Ivy Carter"
Back & Forth,Aaliyah
Obsessed,Mariah Carey
We Need A Resolution (feat. Timbaland),Aaliyah
I Don't Wanna,Aaliyah
Dancing With A Stranger,Sam Smith & Normani
Rap God,Eminem
Big Conspiracy (feat. iceè tgm),J Hus
Play Play (feat. Burna Boy),J Hus
A Thousand Years,Christina Perri
Live Up to My Name,Baka Not Nice
Suga Suga (feat. Frankie J),Baby Bash
Live Your Life (feat. Rihanna),T.I.
This Could Be Us,Rae Sremmurd
TAlk tO Me,Tory Lanez & Rich The Kid
U Mad (feat. Kanye West),VIC MENSA
Good Drank (feat. Gucci Mane & Quavo),2 Chainz
Outta Control (feat. Mobb Deep) [Remix],50 Cent
Whatever You Like,T.I.
Bed,J. Holiday
Watch Out,2 Chainz
"It's a Vibe (feat. Ty Dolla $ign, Trey Songz & Jhené Aiko)",2 Chainz
4 AM (feat. Travis Scott),2 Chainz
Thot (feat. Young M.A. & Dios Moreno),Uncle Murda
Bathwater,WESLEE
Get Dripped (feat. Playboi Carti),Lil Yachty
"Money, Money, Money",ABBA
Seve (Radio Edit),Tez Cadey
I Got 5 On It,Luniz
Tesumole,Naira Marley
Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] [feat. Freshlyground],Shakira
Hips Don't Lie (feat. Wyclef Jean),Shakira
"Whenever, Wherever",Shakira
On the Floor (feat. Pitbull),Jennifer Lopez
Jenny from the Block (Track Masters Remix feat. Styles & Jadakiss),Jennifer Lopez
La La La (Brazil 2014) [feat. Carlinhos Brown],Shakira
Anthem,Michael Abels
Hood Mentality,Ice Cube
Novacane,Frank Ocean
Cheap Thrills (feat. Sean Paul),Sia
Dior,Pop Smoke
GATTI,"JACKBOYS, Pop Smoke & Travis Scott"
Christopher Walking,Pop Smoke
Green Light,Cuppy & Tekno
Mrs. Officer (feat. Bobby V & Kidd Kidd),Lil Wayne
Blessed Up,Meek Mill
