My Type,Saint Motel
Paris,The Chainsmokers
Let It Go,"Loyle Carner, Erick the Architect & FARR"
Show Me How,Men I Trust
Break for Lovers (feat. Helena),Men I Trust
Day Ones (Single from “Swagger”),Tobe Nwigwe
Nicotine (feat. Bruhnice & Sabz),Pretty Boy Aaron
West Savannah (feat. SZA),Isaiah Rashad
Ghostin',Wesley Joseph
HIT EM WHERE IT HURTS,PawPaw Rod
idk shit but colors,Keni Can Fly
Lemonhaze,PawPaw Rod
See You in Hell,Jazz Cartier
Good Grief,Bastille
Rocket Man (I Think It's Going to Be a Long Long Time),Elton John
Afro Blue (9th Wonder's Blue Light Basement Remix) [feat. Erykah Badu and Phonte],Robert Glasper Experiment
All The Time,Bahamas
Sunday Morning,k-os
Dani California,Red Hot Chili Peppers
Lips of an Angel,Hinder
Redbone,Childish Gambino
Me and Your Mama,Childish Gambino
Maria Maria (feat. The Product G&B) [Radio Mix],Santana
Can You Get To That,Funkadelic
Let U Go,lucidbeatz
Void,The Neighbourhood
Livin' in a Dream (feat. Nipsey Hussle),The Neighbourhood
Beat Take 1 (feat. Ghostface Killah),The Neighbourhood
Dark Beach,Pastel Ghost
Sweater Weather,The Neighbourhood
Softcore,The Neighbourhood
Disparate Youth,Santigold
Run the Road,Santigold
Cigarettes out the Window,TV Girl
Read My Mind,Lianne La Havas
After Dark,Mr.Kitty
14 KI's,Conway the Machine & The Alchemist
Stole the Show (feat. Parson James),Kygo
94 Camry Music,femdot.
Rich Men North of Richmond,Oliver Anthony Music
The 6th Sense,Common
Nic's Groove,The Foreign Exchange
Is It True,Tame Impala
Oh Caroline,The 1975
Guitar Beat,Prelow
Say It,Tory Lanez
Come Through and Chill (feat. J. Cole & Salaam Remi),Miguel
Disco Yes,Tom Misch & Poppy Ajudha
One and Only (feat. Ella Mai),J Hus
Militerian (feat. Naira Marley),J Hus
Nice Body (feat. Jorja Smith),J Hus
Come Look,J Hus
Big 7,Burna Boy
Talibans II (Bonus Track),Burna Boy & Byron Messia
Love Made Me Do It,JAE5 & BNXN
Sky Walker (feat. Travis Scott),Miguel
All I Want Is You (feat. J.Cole),Miguel
Sittin' On Top Of The World,Burna Boy & 21 Savage
King Kunta,Kendrick Lamar
Sex & Candy,Marcy Playground
Kiss of Life,Sade
No Ordinary Love,Sade
Different This Time,Cornelia Murr
Woo,Erykah Badu
Hotel California,Eagles
Soulboy (IZCO Remix),p-rallel & Greentea Peng
Sun Is Shining,Bob Marley & The Wailers
Hijos Del Sol,Hermanos Gutiérrez
Le soleil dans le monde,Domenique Dumont
Silver Tongue Devil,Masego & Shenseea
Buttons,The Pussycat Dolls
Bittersweet,Lianne La Havas
Lost,Frank Ocean
Meridian,Dave & Tiakola
Everybody Wants to Rule the World,Tears for Fears
Put It On,Big L
Black Beatles (feat. Gucci Mane),Rae Sremmurd
Wanted Dead or Alive,Bon Jovi
Never Give Up,Chronixx
Hit 'Em Up Style (Oops!),Blu Cantrell
Thong Song,Sisqó
ecstacy (slowed),SUICIDAL-IDOL
Creep,TLC
I Wonder,Kanye West
Hennessey (feat. E.D.I & Sleepy Brown) [Red Spyda Remix],2Pac
